variable_code,variable_long_name,time_frequency,total_size_GB,number_of_downloads
psl,Sea Level Pressure,6hr,229.13,1645
ta50m,Air Temperature,3hr,226.40,197
pr,Precipitation,sem,212.08,17419
ta250,,6hr,208.37,919
zg975,Geopotential Height,6hr,203.01,936
mrro,Total Runoff,1hr,190.99,55
tas,Near-Surface Air Temperature,sem,177.51,17778
ta850,Air Temperature,mon,167.66,8871
sund,Duration of Sunshine,mon,158.80,8756
rsus,Surface Upwelling Shortwave Radiation,1hr,157.13,55
snc,Snow Area Fraction,6hr,153.43,2323
va200,Northward Wind,mon,151.31,6075
rsutcs,Clear-Sky TOA Outgoing Shortwave Radiation,day,146.51,158
ua200,Eastward Wind,mon,142.51,6270
rsut,TOA Outgoing Shortwave Radiation,mon,142.17,4562
zg250,,6hr,140.27,822
rlus,Surface Upwelling Longwave Radiation,mon,139.70,7554
mrros,Surface Runoff,1hr,135.26,55
rlut,TOA Outgoing Longwave Radiation,mon,132.74,5396
rlutcs,Clear-Sky TOA Outgoing Longwave Radiation,day,130.95,158
ta500,Air Temperature,mon,127.85,6820
ta200,Air Temperature,mon,122.38,6918
sfcWind,Near-Surface Wind Speed,sem,121.41,8872
tasmax,Daily Maximum Near-Surface Air Temperature,sem,112.15,13221
tasmin,Daily Minimum Near-Surface Air Temperature,sem,109.11,11419
sst,sea surface temperature,6hr,106.44,1674
snw,Surface Snow Amount,mon,104.02,6727
snc,Snow Area Fraction,mon,101.80,9796
rsds,Surface Downwelling Shortwave Radiation,sem,93.31,7304
ta600,Air Temperature,day,92.54,205
sund,Duration of Sunshine,3hr,87.18,2187
ps,Surface Air Pressure,mon,84.33,2530
sic,Sea Ice Area Fraction,day,81.24,2281
cin,Convective inhibition (CIN),3hr,76.39,123
snm,Surface Snow Melt,6hr,74.38,337
hus400,Specific Humidity,day,74.23,119
ta400,Air Temperature,day,74.22,154
hus300,Specific Humidity,day,73.91,119
hus600,Specific Humidity,day,73.74,119
zg200,Geopotential Height,mon,73.36,5306
ta300,Air Temperature,day,71.90,147
evspsbl,Evaporation,sem,70.96,6197
va850,Northward Wind,sem,70.82,5265
mrros,Surface Runoff,mon,70.10,2950
ua850,Eastward Wind,sem,67.83,5219
hus100,Specific Humidity,day,65.85,104
huss,Near-Surface Specific Humidity,sem,64.43,5557
rsus,Surface Upwelling Shortwave Radiation,sem,64.25,5024
clt,Total Cloud Fraction,sem,61.38,4872
