variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
phydiazos,Surface Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,mon,Omon,240.59,1702
fluc,Net Carbon Mass Flux into Atmosphere Due to Land-Use Change [kgC m-2 s-1],mon,Emon,240.17,84430
phypicoos,Surface Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water,mon,Omon,239.75,1700
wetss,Wet Deposition Rate of Sea-Salt Aerosol,mon,AERmon,239.75,8399
rlutaf,TOA Outgoing Aerosol-Free Longwave Radiation,mon,AERmon,238.80,14864
sipr,Rainfall Rate over Sea Ice,mon,SImon,238.28,3933
bfeos,Surface Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water,mon,Omon,237.12,1840
loadso4,Load of SO4,mon,Emon,236.90,3014
netatmoslandco2flux,Net Flux of CO2 Between Atmosphere and Land (Positive into Land) as a Result of All Processes [kgC m-2 s-1],mon,Emon,234.97,38454
limirrpico,Irradiance Limitation of Picophytoplankton,mon,Omon,234.70,1734
od440aer,Ambient Aerosol Optical Thickness at 440nm,mon,AERmon,232.38,12818
burntfractionall,Percentage of Entire Grid cell  that is Covered by Burnt Vegetation (All Classes),mon,Lmon,231.65,52330
cllcalipso,CALIPSO Low Level Cloud Cover Percentage,mon,CFmon,230.56,9122
ares,Aerodynamic Resistance,day,Eday,228.35,731
tsland,Land Surface Temperature,day,Eday,228.25,1779
ta,Air Temperature,mon,AERmonZ,225.97,92454
intvadse,Vertically Integrated Northward Dry Static Energy Transport,mon,Emon,225.70,4767
snw,Surface Snow Amount,6hrPt,6hrPlevPt,225.25,2952
qgwr,Groundwater Recharge from Soil Layer,day,Eday,225.16,579
dpco2nat,Natural Delta CO2 Partial Pressure ,mon,Omon,225.04,1722
dgw,Change in Groundwater,day,Eday,224.94,157
tran,Transpiration,day,Eday,222.98,2043
loadss,Load of Sea-Salt Aerosol,mon,Emon,222.06,3288
cltcalipso,CALIPSO Total Cloud Cover Percentage,mon,CFmon,220.73,6613
albisccp,ISCCP Mean Cloud Albedo,mon,CFmon,219.67,7837
limirrdiaz,Irradiance Limitation of Diazotrophs,mon,Omon,219.23,1741
vas,Northward Near-Surface Wind,subhrPt,CFsubhr,217.32,745
fndep,Dry and Wet Deposition of Reactive Nitrogen onto Land,mon,Emon,216.82,36644
sconcdust,Surface Concentration of Dust,mon,Emon,216.34,4329
sidmasslat,Lateral Sea Ice Melt Rate,mon,SImon,214.68,4768
volcello,Ocean Grid-Cell Volume,yr,Oyr,214.23,2771
uwap,Product of Eastward Wind and Omega,mon,Emon,214.07,76
hfss,Surface Upward Sensible Heat Flux,subhrPt,CFsubhr,212.99,768
rlut,TOA Outgoing Longwave Radiation,subhrPt,CFsubhr,212.40,779
flittersoil,Total Carbon Mass Flux from Litter to Soil,mon,Lmon,211.26,53415
ua,Eastward Wind,mon,AERmonZ,209.87,69489
limfepico,Iron Limitation of Picophytoplankton,mon,Omon,208.67,1645
fco2nat,Surface Carbon Mass Flux into the Atmosphere Due to Natural Sources [kgC m-2 s-1],mon,Amon,208.31,58986
rlutcsaf,"TOA Outgoing Clear-Sky, Aerosol-Free Longwave Radiation",mon,AERmon,205.08,13332
evspsblpot,Potential Evapotranspiration,day,Eday,204.72,627
cli,Mass Fraction of Cloud Ice,monC,Amon,204.45,93
limfemisc,Iron Limitation of Other Phytoplankton,mon,Omon,203.15,8938
vas,Surface Diffuse Downwelling Shortwave Radiation,3hr,3hr,202.21,177
volcello,Ocean Grid-Cell Volume,fx,Ofx,201.44,31856
limnpico,Nitrogen Limitation of Picophytoplankton,mon,Omon,200.22,1574
phnatos,Surface Natural pH,mon,Omon,199.85,1511
hfls,Surface Upward Latent Heat Flux,subhrPt,CFsubhr,198.46,829
wtd,Water Table Depth,day,Eday,196.76,547
uas,Surface Downwelling Clear-Sky Shortwave Radiation,3hr,3hr,196.52,170
rsut,TOA Outgoing Shortwave Radiation,subhrPt,CFsubhr,196.18,822
clw,Mass Fraction of Cloud Liquid Water,monC,Amon,195.93,96
sicompstren,Compressive Sea Ice Strength,mon,SImon,195.13,18885
clhcalipso,CALIPSO High Level Cloud Area Percentage,mon,CFmon,195.07,6968
volo,Sea Water Volume,mon,Omon,194.81,112341
rsdt,TOA Incident Shortwave Radiation,subhrPt,CFsubhr,193.65,799
sfdsi,Downward Sea Ice Basal Salt Flux,mon,SImon,193.28,5821
soga,Global Mean Sea Water Salinity,mon,Omon,193.16,133721
sitempbot,Temperature at Ice-Ocean Interface,mon,SImon,192.97,5094
sifb,Sea-Ice Freeboard,mon,SImon,192.74,18306
intuadse,Vertically Integrated Eastward Dry Statice Energy Transport,mon,Emon,191.97,4602
opottempmint,Integral with Respect to Depth of Product of Sea Water Density and Potential Temperature,mon,Emon,190.79,3236
phypos,Surface Mole Concentration of Total Phytoplankton Expressed as Phosphorus in Sea Water,mon,Omon,190.63,1411
jpdftaureicemodis,"MODIS Joint Distribution of Optical Thickness and Particle Size, Ice",day,Eday,190.50,324
sbl,Surface Snow and Ice Sublimation Flux,day,Eday,189.01,2298
emidust,Total Emission Rate of Dust,mon,AERmon,188.95,49603
thetao,Sea Water Potential Temperature,dec,Odec,188.77,1196
co3sataragos,Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,mon,Omon,188.62,2034
mrlso,Soil Liquid Water Content,mon,Emon,187.88,6735
clcalipsoice,CALIPSO Ice Cloud Percentage,mon,Emon,187.50,262
cstem,Carbon Mass in Stem,mon,Emon,187.04,17945
psl,Sea Level Pressure,subhrPt,CFsubhr,185.76,801
hurs,Specific Humidity,day,day,185.60,1718
shrubfrac,Percentage Cover by Shrub,mon,Lmon,185.42,52372
rsdsdiff,Surface Diffuse Downwelling Shortwave Radiation,mon,Emon,185.32,3597
vsfevap,Virtual Salt Flux into Sea Water Due to Evaporation,mon,Omon,184.96,1095
wap2,Mean-Squared Vertical Velocity (Omega),mon,Emon,184.02,76
lailut,Leaf Area Index on Land-Use Tile,mon,Emon,183.38,12006
sivols,Sea-Ice Volume South,mon,SImon,181.61,15838
co3satcalcos,Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water,mon,Omon,180.81,1705
pbsi,Biogenic Silicon Production,mon,Omon,179.74,833
clmcalipso,CALIPSO Mid Level Cloud Cover Percentage,mon,CFmon,179.49,6649
cltc,Convective Cloud Cover Percentage,mon,AERmon,179.14,8388
hfdsl,Downward Heat Flux at Land Surface,day,Eday,179.01,1595
phabio,Abiotic pH,mon,Omon,178.39,33
siitdsnconc,Snow Area Percentages in Ice Thickness Categories,mon,SImon,178.25,1357
mrtws,Terrestrial Water Storage,day,Eday,177.34,482
hfsnthermds,Heat Flux into Sea Water Due to Snow Thermodynamics,mon,Omon,177.22,1064
pctisccp,ISCCP Mean Cloud Top Pressure,mon,CFmon,177.12,7102
prra,Rainfall Flux over Land Ice,day,Eday,175.98,522
nsoil,Nitrogen Mass in Soil Pool,mon,Emon,175.88,34250
mrsolut,Total Soil Moisture,mon,Emon,175.39,9138
dissicabioos,Surface Abiotic Dissolved Inorganic Carbon Concentration,mon,Omon,174.75,1038
vsfpr,Virtual Salt Flux into Sea Water Due to Rainfall,mon,Omon,172.41,1010
vtendogw,Northward Acceleration Due to Orographic Gravity Wave Drag,mon,Emon,171.93,661
huss,Meridional Overturning Circulation at 34S,3hr,3hr,171.65,145
dryoa,Dry Deposition Rate of Dry Aerosol Total Organic Matter,mon,AERmon,170.79,8138
wetoa,Wet Deposition Rate of Dry Aerosol Total Organic Matter,mon,AERmon,170.36,7417
grassfracc3,C3 Natural Grass Area Percentage,mon,Emon,169.47,47845
sndmassdyn,Snow Mass Rate of Change Through Advection by Sea-Ice Dynamics,mon,SImon,167.26,6953
hfgeou,Upward Geothermal Heat Flux at Sea Floor,mon,Omon,166.91,20610
talknatos,Surface Natural Total Alkalinity,mon,Omon,166.85,1839
prsnc,Convective Snowfall Flux,day,Eday,166.84,11
o3,Mole Fraction of O3,monC,Amon,166.70,375
clcalipsoliq,CALIPSO Liquid Cloud Percentage,mon,Emon,166.62,319
npplut,Net Primary Production on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],mon,Emon,164.76,10346
sisaltmass,Mass of Salt in Sea Ice per Area,mon,SImon,164.48,5857
emioa,Primary Emission and Chemical Production of Dry Aerosol Organic Matter,mon,AERmon,163.30,9767
cwood,Carbon Mass in Wood,mon,Emon,162.72,22463
fnloss,"Total Nitrogen Lost (Including NHx, NOx, N2O, N2 and Leaching)",mon,Emon,162.23,41195
fg14co2abio,Surface Downward Mass Flux of Carbon-14 as Abiotic 14CO2 [kgC m-2 s-1],mon,Omon,161.03,829
hurs,Near-Surface Relative Humidity,6hrPt,6hrPlevPt,160.18,827
spco2nat,Natural Surface Aqueous Partial Pressure of CO2,mon,Omon,159.50,1419
detocos,Surface Detrital Organic Carbon Concentration,mon,Omon,159.32,1065
nveg,Nitrogen Mass in Vegetation,mon,Emon,158.81,38450
siflfwdrain,Freshwater Flux from Sea-Ice Surface,mon,SImon,157.91,3679
photo1d,Photolysis Rate of Ozone (O3) to Excited Atomic Oxygen (the Singlet D State,mon,AERmon,156.02,175
uas,Eastward Near-Surface Wind,subhrPt,CFsubhr,155.84,622
ts,Surface Temperature,subhrPt,CFsubhr,155.72,790
rsutcs,TOA Outgoing Clear-Sky Shortwave Radiation,subhrPt,CFsubhr,155.41,678
dpco2abio,Abiotic Delta Pco Partial Pressure,mon,Omon,154.83,910
rlutcs,TOA Outgoing Clear-Sky Longwave Radiation,subhrPt,CFsubhr,154.52,643
sconcss,Surface Concentration of Sea-Salt Aerosol,mon,Emon,152.59,3601
hfsifrazil,Heat Flux into Sea Water Due to Frazil Ice Formation,mon,Omon,151.28,3912
cnc,Canopy Covered Area Percentage,day,Eday,150.81,1670
sndmasssi,Snow Mass Rate of Change Through Snow-to-Ice Conversion,mon,SImon,149.92,3717
aod550volso4,Aerosol Optical Depth at 550nm Due to Stratospheric Volcanic Aerosols,day,Eday,149.47,1631
tau,Momentum Flux,day,Eday,148.76,1208
ps,Surface Air Pressure,subhrPt,CFsubhr,148.59,828
sconcso4,Surface Concentration of SO4,mon,Emon,148.31,3346
cfadlidarsr532,CALIPSO Scattering Ratio CFAD,3hrPt,E3hrPt,144.67,68
sifllwdtop,Downwelling Longwave Flux over Sea Ice,mon,SImon,144.62,6787
sndmasssubl,Snow Mass Rate of Change Through Evaporation or Sublimation,mon,SImon,144.05,3618
fgdms,Surface Upward Flux of DMS,mon,Omon,143.41,1225
tas,Near-Surface Air Temperature,subhrPt,CFsubhr,143.39,466
fharvest,Carbon Mass Flux into Atmosphere Due to Crop Harvesting [kgC m-2 s-1],mon,Lmon,142.93,56752
sifllwutop,Upwelling Longwave Flux over Sea Ice,mon,SImon,142.43,7417
difvho,Ocean Vertical Heat Diffusivity,monC,Oclim,141.72,1241
difmxylo,Ocean Momentum XY Laplacian Diffusivity,yr,Oyr,141.52,196
tauv,Surface Downward Northward Wind Stress,subhrPt,CFsubhr,140.24,482
tauu,Surface Downward Eastward Wind Stress,subhrPt,CFsubhr,139.31,499
vsfsit,Virtual Salt Flux into Sea Water Due to Sea Ice Thermodynamics,mon,Omon,139.12,1435
sitempsnic,Temperature at Snow-Ice Interface,mon,SImon,138.55,20745
pnitrate,Primary Carbon Production by Phytoplankton Due to Nitrate Uptake Alone,mon,Omon,138.50,725
aoanh,Northern Hemisphere Tracer Lifetime,mon,AERmon,137.77,29
clt,Total Cloud Cover Percentage,subhrPt,CFsubhr,137.43,546
fgcfc12,Surface Downward CFC12 Flux,mon,Omon,137.35,13232
ec,Interception Evaporation,day,Eday,137.08,581
phabioos,Surface Abiotic pH,mon,Omon,136.64,1038
rhlut,Heterotrophic Respiration on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],mon,Emon,135.62,8062
o2satos,Surface Dissolved Oxygen Concentration at Saturation,mon,Omon,134.09,2887
difvmo,Ocean Vertical Momentum Diffusivity,monC,Oclim,133.22,1105
gpplut,Gross Primary Production on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],mon,Emon,132.74,9570
residualfrac,Percentage of Grid Cell That Is Land but neither Vegetation Covered nor Bare Soil,mon,Lmon,131.23,26599
rhsoil,Carbon Mass Flux into Atmosphere Due to Heterotrophic Respiration from Soil on Land,mon,Emon,131.11,7902
dslw,Change in Soil Moisture,day,Eday,129.96,99
c3pftfrac,Percentage Cover by C3 Plant Functional Type,mon,Lmon,129.76,11068
treefracbdldcd,Broadleaf Deciduous Tree Area Percentage,mon,Emon,129.54,45128
hfdsn,Downward Heat Flux into Snow Where Land over Land,day,Eday,129.53,1805
solbnd,TOA Solar Irradiance for Each Band,3hrPt,E3hrPt,128.95,248
parasolrefl,PARASOL Reflectance,mon,Emon,128.49,1645
rtmt,Net Downward Radiative Flux at Top of Model,subhrPt,CFsubhr,128.16,465
lwsffluxaero,Longwave flux  due to volcanic aerosols at the surface,6hrPt,6hrPlevPt,127.87,18
cw,Total Canopy Water Storage,day,Eday,127.58,1623
fgsf6,Surface Downward SF6 Flux,mon,Omon,127.02,13271
mrsow,Total Soil Wetness,day,Eday,126.70,1389
fnnetmin,Net Nitrogen Release from Soil and Litter as the Outcome of Nitrogen Immobilisation and Gross Mineralisation,mon,Emon,126.27,29484
mrsos,Moisture in Upper Portion of Soil Column,6hr,6hrPlevPt,125.87,828
pabigthetao,Sea Water Added Conservative Temperature,mon,Emon,125.63,141
rlus,Surface Upwelling Longwave Radiation,subhrPt,CFsubhr,125.50,545
nmineral,Mineral Nitrogen in the Soil,mon,Emon,125.03,22118
icfriver,Flux of Inorganic Carbon into Ocean Surface by Runoff,mon,Omon,124.53,6513
depdust,Total Deposition Rate of Dust,mon,Emon,124.53,1481
rsds,Surface Downwelling Shortwave Radiation,subhrPt,CFsubhr,124.36,537
nland,Total Nitrogen in All Terrestrial Nitrogen Pools,mon,Emon,122.64,27679
dissi14cabioos,Surface Abiotic Dissolved Inorganic Carbon-14 Concentration,mon,Omon,121.39,786
vortmean,Relative Vorticity,6hrPt,6hrPlevPt,121.36,202
cldnvi,Column Integrated Cloud Droplet Number,mon,Emon,121.32,1354
fnup,Total Plant Nitrogen Uptake (Sum of Ammonium and Nitrate) Irrespective of the Source of Nitrogen,mon,Emon,121.00,29846
mrrolut,Total Runoff from Land-Use Tile,mon,Emon,120.67,6484
vsfriver,Virtual Salt Flux into Sea Water from Rivers,mon,Omon,120.09,1130
snm,Surface Snow Melt,day,Eday,119.64,4054
huss,Meridional Overturning Circulation at 34S,mon,Amon,118.90,4896
swelut,Snow Water Equivalent on Land-Use Tile,mon,Emon,118.78,3687
zg,Geopotential Height,mon,AERmonZ,118.31,164697
tasmax,TOA Outgoing Clear-Sky Shortwave Radiation,mon,Amon,118.02,8739
sfcwind,Near-Surface Wind Speed,subhrPt,CFsubhr,117.26,469
cropfracc3,Percentage Cover by C3 Crops,mon,Emon,116.13,44884
ralut,Autotrophic Respiration on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],mon,Emon,116.13,7801
rlds,Surface Downwelling Longwave Radiation,subhrPt,CFsubhr,115.37,507
msftyrho,Ocean Y Overturning Mass Streamfunction,mon,Omon,115.10,1022
nwdfraclut,Non-Woody Vegetation Percentage Cover,mon,Emon,114.41,5905
ppdiaz,Net Primary Mole Productivity of Carbon by Diazotrophs,yr,Oyr,114.16,2511
treefracndlevg,Needleleaf Evergreen Tree Area Percentage,mon,Emon,114.06,43547
huss,Meridional Overturning Circulation at 34S,day,day,113.79,178
cfaddbze94,CloudSat Radar Reflectivity CFAD,3hrPt,E3hrPt,113.56,42
pasturefrac,Percentage of Land Which Is Anthropogenic Pasture,mon,Lmon,113.40,81566
tatp,Tropopause Air Temperature,mon,AERmon,113.20,6415
ffireall,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Fire Including All Sources [kgC m-2 s-1],mon,Emon,113.17,3739
siflswdbot,Downwelling Shortwave Flux Under Sea Ice,mon,SImon,112.36,2477
sisali,Sea Ice Salinity,mon,SImon,112.16,27749
msftyzmpa,Ocean Y Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection,mon,Omon,111.97,1201
grassfracc4,C4 Natural Grass Area Percentage,mon,Emon,110.99,47615
o3,Mole Fraction of O3,mon,AERmonZ,110.93,30796
ccwd,Carbon Mass in Coarse Woody Debris,mon,Lmon,110.52,26360
va,Northward Wind,mon,AERmonZ,110.47,30283
phnat,Natural pH,yr,Oyr,110.38,819
prbigthetao,Sea Water Redistributed Conservative Temperature,mon,Emon,109.98,102
fanthdisturb,"Carbon Mass Flux from Vegetation, Litter or Soil Pools into the Atmosphere Due to any Human Activity [kgC m-2 s-1]",mon,Emon,109.77,15811
rgrowth,Total Autotrophic Respiration on Land as Carbon Mass Flux [kgC m-2 s-1],mon,Lmon,109.26,14096
od550soa,Particulate Organic Aerosol Optical Depth at 550nm,mon,AERmon,109.23,14569
hflslut,Latent Heat Flux on Land-Use Tile,mon,Emon,109.02,1936
lwsnl,Liquid Water Content of Snow Layer,mon,LImon,108.89,26932
rsus,Surface Upwelling Shortwave Radiation,subhrPt,CFsubhr,108.16,512
siflsenstop,Net Upward Sensible Heat Flux over Sea Ice,mon,SImon,106.72,6206
cvegtree,Carbon Mass in Vegetation on Tree Tiles,mon,Emon,104.71,8583
huss,Near-Surface Specific Humidity,subhrPt,CFsubhr,104.69,423
albsn,Snow Albedo,day,Eday,104.68,2903
tsoilpools,Turnover Rate of Each Model Soil Carbon Pool,mon,Emon,104.33,1248
ocfriver,Flux of Organic Carbon into Ocean Surface by Runoff,mon,Omon,103.92,5649
taslut,Near-Surface Air Temperature on Land Use Tile,mon,Emon,103.89,2530
hfsslut,Sensible Heat Flux on Land-Use Tile,mon,Emon,103.81,1832
fgcfc11,Surface Downward CFC11 Flux,mon,Omon,103.70,3102
rsut,TOA Outgoing Longwave Radiation,mon,Amon,103.38,6764
rlut,TOA Outgoing Longwave Radiation,3hrPt,CF3hr,102.64,83
nlitter,Nitrogen Mass in Litter Pool,mon,Emon,101.49,23013
clitterbelow,Carbon Mass in Below-Ground Litter,mon,Lmon,100.90,17625
rsdscs,Surface Downwelling Clear-Sky Shortwave Radiation,subhrPt,CFsubhr,100.76,483
tslsilut,Surface Temperature on Landuse Tile,mon,Emon,100.57,2251
prw,Water Vapor Path,subhrPt,CFsubhr,100.03,475
rsuscs,Surface Upwelling Clear-Sky Shortwave Radiation,3hrPt,CF3hr,99.98,546
prc,Convective Precipitation,subhrPt,Esubhr,99.50,17
so,Sea Water Salinity,dec,Odec,99.09,626
rsdt,Surface Downwelling Longwave Radiation,mon,Amon,98.74,18412
vo,Sea Water Y Velocity,dec,Odec,98.38,609
dtes,Change in Surface Heat Storage,day,Eday,97.81,68
jpdftaureliqmodis,MODIS Optical Thickness-Particle Size Joint Distribution,day,Eday,97.59,126
eminox,Total Emission Rate of NOx,mon,AERmon,97.22,10854
cveggrass,Carbon Mass in Vegetation on Grass Tiles,mon,Emon,97.13,8209
fdeforesttoatmos,Deforested Biomass That Goes into Atmosphere as a Result of Anthropogenic Land-Use Change [kgC m-2 s-1],mon,Emon,97.03,6724
c4pftfrac,Percentage Cover by C4 Plant Functional Type,mon,Lmon,96.61,11503
fngas,"Total Nitrogen Lost to the Atmosphere (Sum of NHx, NOx, N2O, N2)",mon,Emon,96.15,24557
wetlandfrac,Wetland Percentage Cover,mon,Emon,96.02,6944
treefracbdlevg,Broadleaf Evergreen Tree Area Percentage,mon,Emon,95.91,44652
rlut,Snowfall Flux,mon,Amon,95.61,7429
rsuslut,Surface Upwelling Shortwave  on Land-use Tile,mon,Emon,95.32,1708
csoilabove1m,Carbon Mass in Soil Pool Above 1m Depth,mon,Emon,95.24,3859
hfls,Surface Upward Latent Heat Flux,mon,ImonAnt,93.78,5585
hurs,Near-Surface Relative Humidity,subhrPt,CFsubhr,93.66,429
albc,Canopy Albedo,day,Eday,93.54,103
rsuscs,Surface Upwelling Clear-Sky Shortwave Radiation,subhrPt,CFsubhr,93.09,425
fproductdecomp,Decomposition out of Product Pools to CO2 in Atmosphere as Carbon Mass Flux [kgC m-2 s-1],mon,Emon,91.96,17381
cl,Global Mean Mole Fraction of CFC11,mon,Amon,91.59,61
ts,Surface Temperature,mon,ImonAnt,91.37,7014
co3nat,Natural Carbonate Ion Concentration,yr,Oyr,90.75,326
nppgrass,Net Primary Production on Grass Tiles as Carbon Mass Flux [kgC m-2 s-1],mon,Emon,90.74,7709
ts,Surface Temperature,mon,ImonGre,90.67,7487
sfcwind,Boundary Layer Depth,mon,Amon,90.62,2764
difvso,Ocean Vertical Salt Diffusivity,monC,Oclim,90.32,790
rhlitter,Carbon Mass Flux into Atmosphere Due to Heterotrophic Respiration from Litter on Land,mon,Emon,90.01,3797
sirdgconc,Percentage Cover of Sea Ice by Ridging,mon,SImon,89.85,1901
orog,Surface Altitude,mon,ImonGre,89.62,291
difvtrto,Ocean Vertical Tracer Diffusivity Due to Tides,monC,Oclim,89.56,622
tsn,Snow Internal Temperature,day,Eday,89.44,2279
rluslut,Surface Upwelling Longwave on Land-Use Tile,mon,Emon,89.26,1688
dcw,Change in Interception Storage,day,Eday,89.22,76
npptree,Net Primary Production on Tree Tiles as Carbon Mass Flux [kgC m-2 s-1],mon,Emon,88.74,7394
popos,Surface Mole Concentration of Particulate Organic Matter Expressed as Phosphorus in Sea Water,mon,Omon,88.69,2270
wo,Sea Water Vertical Velocity,day,Oday,88.64,26
fdeforesttoproduct,Deforested Biomass That Goes into Product Pool as a Result of Anthropogenic Land-Use Change,mon,Emon,86.65,25830
mmrno3,NO3 Aerosol Mass Mixing Ratio,mon,Emon,85.87,754
vegheight,Height of the Vegetation Canopy,mon,Emon,85.78,3126
bacc,Bacterial Carbon Concentration,yr,Oyr,85.18,107
ygwdparam,Northward Gravity Wave Drag,mon,Emon,84.96,35
clwvi,Global Mean Mole Fraction of CH4,mon,Amon,84.52,9158
rmaint,Carbon Mass Flux into Atmosphere Due to Maintenance Autotrophic Respiration on Land [kgC m-2 s-1],mon,Lmon,83.94,13432
uqint,Eastward Humidity Transport,mon,Emon,83.32,2717
clitterabove,Carbon Mass in Above-Ground Litter,mon,Lmon,83.00,16810
rldscs,Surface Downwelling Clear-Sky Longwave Radiation,subhrPt,CFsubhr,82.78,413
tas,Near-Surface Air Temperature,monC,Amon,82.68,873
husslut,Near-Surface Specific Humidity on Land-Use Tile,mon,Emon,81.51,1690
esn,Snow Evaporation,day,Eday,81.27,1269
pr,Precipitation,3hrPt,CF3hr,81.23,139
clwvi,Condensed Water Path,subhrPt,CFsubhr,81.23,384
jpdftaureliqmodis,"MODIS Optical Thickness-Particle Size Joint Distribution, Liquid",mon,Emon,81.16,131
vqint,Northward Humidity Transport,mon,Emon,80.84,2349
gpptree,Gross Primary Production on Tree Tiles as Carbon Mass Flux [kgC m-2 s-1],mon,Emon,80.49,7661
cropfracc4,Percentage Cover by C4 Crops,mon,Emon,79.96,42549
clivi,Ice Water Path,subhrPt,CFsubhr,79.89,340
mlotst,Load of NO3,mon,Omon,79.83,9674
mrsoslut,Moisture in Upper Portion of Soil Column of Land-Use Tile,mon,Emon,79.61,5403
emico,Total Emission Rate of CO,mon,AERmon,78.99,9696
clivi,Mole Fraction of CH4,mon,Amon,78.94,7032
intpbp,Phosphorus Production,mon,Omon,78.93,2291
cls,Omega (=dp/dt),mon,CFmon,78.84,35
xgwdparam,Eastward Gravity Wave Drag,mon,Emon,78.78,32
ttop,Air Temperature at Cloud Top,mon,AERmon,78.54,1967
hfsbl,Energy of Sublimation,day,Eday,77.84,1228
tsns,Snow Surface Temperature,day,Eday,77.60,1564
pr,Precipitation,monC,Amon,77.50,637
uo,Sea Water X Velocity,dec,Odec,77.19,513
aragos,Surface Aragonite Concentration,mon,Omon,76.53,2701
ps,Surface Air Pressure,mon,CFmon,76.21,4671
fnleach,"Total Nitrogen Loss to Leaching or Runoff (Sum of Ammonium, Nitrite and Nitrate)",mon,Emon,75.97,17708
mrlsl,Average Layer Soil Moisture,mon,Lmon,75.47,526
hfss,Surface Upward Sensible Heat Flux,mon,ImonAnt,75.33,4915
phymiscos,Surface Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water,mon,Omon,75.21,7368
wetlandch4,Grid Averaged Methane Emissions from Wetlands,mon,Emon,75.08,2997
difvmto,Ocean Vertical Momentum Diffusivity Due to Tides,monC,Oclim,74.92,537
gppgrass,Gross Primary Production on Grass Tiles as Carbon Mass Flux [kgC m-2 s-1],mon,Emon,74.27,7530
zmicroos,Surface Mole Concentration of Microzooplankton Expressed as Carbon in Sea Water,mon,Omon,73.95,7248
tgs,Temperature of Bare Soil,day,Eday,73.90,71
rsut4co2,TOA Outgoing Shortwave Radiation in 4XCO2 Atmosphere,mon,CFmon,73.89,2783
ratree,Autotrophic Respiration on Tree Tiles as Carbon Mass Flux [kgC m-2 s-1],mon,Emon,73.63,5937
ragrass,Autotrophic Respiration on Grass Tiles as Carbon Mass Flux [kgC m-2 s-1],mon,Emon,73.49,5931
siforcetiltx,Sea-Surface Tilt Term in Force Balance (X-Component),mon,SImon,73.22,2510
emivoc,Total Emission Rate of NMVOC,mon,AERmon,73.06,11534
hfcorr,Heat Flux Correction,mon,Omon,72.89,8064
siforceintstrx,Internal Stress Term in Force Balance (X-Component),mon,SImon,72.53,2577
rsdt,TOA Incident Shortwave Radiation,6hrPt,6hrPlevPt,72.26,174
simpconc,Percentage Cover of Sea Ice by Meltpond,mon,SImon,72.09,2733
zmesoos,Surface Mole Concentration of Mesozooplankton Expressed as Carbon in Sea Water,mon,Omon,71.94,7191
clisccp,ISCCP Mean Cloud Albedo,mon,CFmon,71.80,19
tas,Near-Surface Air Temperature,mon,ImonAnt,71.77,4510
rlut4co2,TOA Outgoing Longwave Radiation 4XCO2 Atmosphere,mon,CFmon,71.36,2819
ts,Surface Temperature,6hr,6hrPlevPt,71.36,592
siforcecoriolx,Coriolis Force Term in Force Balance (X-Component),mon,SImon,71.23,2563
hfls,Surface Upward Latent Heat Flux,mon,ImonGre,71.01,4148
mc,Global Mean Mole Fraction of HCFC22,day,CFday,71.00,255
emibvoc,Total Emission Rate of Biogenic NMVOC,mon,AERmon,70.81,17842
hfbasin,Northward Ocean Heat Transport,mon,Omon,70.28,294329
siforceintstry,Internal Stress Term in Force Balance (Y-Component),mon,SImon,69.90,2511
tas,Near-Surface Air Temperature,mon,ImonGre,69.79,4400
evspsbl,Evaporation Including Sublimation and Transpiration,primday,Primday,69.21,130
deptho,Sea Floor Depth Below Geoid,fx,Ofx,69.17,20325
rtmt,Surface Downwelling Shortwave Radiation,mon,Amon,68.88,7889
siforcetilty,Sea-Surface Tilt Term in Force Balance (Y-Component),mon,SImon,68.83,2510
ocontemppsmadvect,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Submesoscale Advection,yr,Oyr,68.80,231
siforcecorioly,Coriolis Force Term in Force Balance (Y-Component),mon,SImon,68.43,2470
dryo3,Dry Deposition Rate of O3,mon,AERmon,68.11,7068
hurs,Specific Humidity,mon,Amon,67.84,2200
ocontemppsmadvect,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Submesoscale Advection,mon,Emon,67.75,232
rsdscsdiff,Surface Diffuse Downwelling Clear Sky Shortwave Radiation,mon,Emon,67.74,800
cother,"Carbon Mass in Vegetation Components Other than Leaves, Stems and Roots",mon,Emon,67.07,9992
fco2antt,Carbon Mass Flux into Atmosphere Due to All Anthropogenic Emissions of CO2 [kgC m-2 s-1],mon,Amon,66.88,73394
vas,Surface Diffuse Downwelling Shortwave Radiation,day,day,66.88,133
