variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
hus,Specific Humidity,3hrPt,E3hrPt,15764.96,3298
ps,Surface Air Pressure,mon,Amon,15729.36,1418185
tsl,Temperature of Soil,mon,Lmon,15695.28,295600
tntmp,Tendency of Air Temperature Due to Model Physics,mon,CFmon,15450.75,8699
huss,Near-Surface Specific Humidity,mon,Amon,15288.56,1524479
rld,Downwelling Longwave Radiation,mon,CFmon,15216.41,17076
pfull,Pressure at Model Full-Levels,6hr,6hrLev,15140.01,931
clt,Total Cloud Cover Percentage,mon,Amon,15016.40,1682716
rsu,Upwelling Shortwave Radiation,mon,CFmon,14825.36,13520
rivo,River Discharge,day,Eday,14810.00,6260
omldamax,Mean Daily Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme,day,Oday,14694.54,38358
vas,Northward Near-Surface Wind,mon,Amon,14571.65,1388734
uas,Eastward Near-Surface Wind,mon,Amon,14524.53,1393712
prc,Convective Precipitation,1hr,E1hr,14467.52,7471
rldscs,Surface Downwelling Clear-Sky Longwave Radiation,3hr,3hr,14462.21,10346
rsuscs,Surface Upwelling Clear-Sky Shortwave Radiation,3hr,3hr,14445.31,13808
rlu,Upwelling Longwave Radiation,mon,CFmon,14340.05,12706
tas,Near-Surface Air Temperature,6hr,6hrPlev,14222.41,31841
ts,Surface Temperature,day,Eday,14108.44,53683
rsdscs,Surface Downwelling Clear-Sky Shortwave Radiation,3hr,3hr,14069.63,14673
tnhusa,Tendency of Specific Humidity Due to Advection,mon,CFmon,13918.16,6043
ta,Air Temperature,3hrPt,E3hrPt,13875.01,4371
prsn,Snowfall Flux,3hr,3hr,13747.64,28433
rsucs,Upwelling Clear-Sky Shortwave Radiation,mon,CFmon,13561.85,12069
rlucs,Upwelling Clear-Sky Longwave Radiation,mon,CFmon,13459.40,12159
prc,Convective Precipitation,3hr,3hr,13445.55,22079
uas,Eastward Near-Surface Wind,6hr,6hrPlev,13308.66,18785
